MetaData
Device name,Address,Record name,Start,End,Logging frequency,Ringbuffer frequency
1-01107,EA:5E:A0:E1:13:3F,,24.10.2025 16:14:56,24.10.2025 16:17:17,10.0,-
Sensor-id,0,1,2,3
Description,Ch1,Ch2,Ch3,Ch4
Unit,mA,mA,mA,mA
App version,6.3.0
App hash,appInfoView.commitShaUnknown
Firmware version,6.2.0
Firmware hash,6e2bd86
Phone model,SM-A528B
Phone OS,14




Sensordata
Time in ms,Ch1  in  mA,Ch2  in  mA,Ch3  in  mA,Ch4  in  mA,
11700,0.10270052897112691,7.669986423536102,5.30036334978513,4.285751775368681,
11800,0.10059661322293323,7.670603955120896,5.296697653575393,4.255277309719077,
11900,0.11082896797097419,7.669803318240611,5.298115822040472,4.246003565047431,
12000,0.11311957931457073,7.6671213642066505,5.300506961781593,4.221431552452486,
12100,0.11905793536834608,7.668219995979598,5.300916255971515,4.179349647188701,
12200,0.10323907395786591,7.66772812489171,5.299293440411475,4.151560725872969,
12300,0.11032273568343953,7.669817679440257,5.30173843465127,4.129591680713929,
12400,0.10505576571313213,7.666406894524243,5.3007618730753165,4.088016007737679,
12500,0.11215378863835213,7.666187886229636,5.299857117497595,4.076799910813861,
12600,0.10188194059128364,7.666676167017613,5.30101678436904,4.061691928785876,
12700,0.10332883145565575,7.666966981310452,5.301289647162321,4.055624321935284,
12800,0.11704377711794223,7.669954110836898,5.297236198562132,4.023706555721219,
12900,0.11052379247848876,7.671146090407547,5.300944978370808,4.005015454381464,
13000,0.112975967318107,7.669742283142114,5.3041080325929215,3.991659538710337,
13100,0.11565074075224402,7.66664744461832,5.303404333810249,3.9940829911506626,
13200,0.09950516204980886,7.666177115329901,5.299368836709618,3.991149716122891,
13300,0.10848450212870375,7.669939749637251,5.299695554001573,3.989771040956839,
13400,0.11826447908788396,7.668582616270669,5.3022805699379205,3.9797828266027864,
13500,0.1049660082153423,7.668751360366514,5.302632419329257,3.9835598221097825,
13600,0.10936771590695571,7.669203738155375,5.3052030740659575,3.9933864729678135,
13700,0.10211171978562561,7.670417259525493,5.30131118896179,4.002534557142553,
13800,0.10235586017961396,7.670761928317006,5.30108500006736,4.000294209997719,
13900,0.10864247532481386,7.669634574144766,5.298586151328891,4.0005814339906465,
14000,0.1035657912498209,7.666029913033526,5.298948771619962,3.997813312758808,
14100,0.10344013075291514,7.671483578599236,5.300693657376996,4.007061925331072,
14200,0.10586358319324063,7.669638164444677,5.301788698850032,3.999030424428838,
14300,0.11213942743870575,7.6722590833801405,5.300496190881859,3.9974901857667646,
14400,0.1123799775327825,7.669867943639019,5.305382589061537,3.9923811889925673,
14500,0.10386378614248315,7.666722840916464,5.299903791396446,4.006498248244952,
14600,0.11940619445977063,7.666773105115226,5.298130183240119,4.004318936198615,
14700,0.11101566356637704,7.671350737502507,5.302585745430406,4.008013354807645,
14800,0.112649250026152,7.668611338669962,5.298054786941975,4.009104805980769,
14900,0.11007859528945119,7.667541429296307,5.299253947112447,4.0037947524115225,
15000,0.1023307280802328,7.667185989605059,5.298284566136317,4.008900158885808,
15100,0.1009879559132969,7.671282521804187,5.301537377856221,4.0077584435139215,
